Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		10
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,654.0
185.0142,625.0
185.0875,644.0
185.1608,640.0
185.2341,692.0
185.3074,599.0
185.3807,718.0
185.454,646.0
185.5273,692.0
185.6006,586.0
185.6739,663.0
185.7472,609.0
185.8205,701.0
185.8938,664.0
185.9671,711.0
186.0403,597.0
186.1136,666.0
186.1869,622.0
186.2601,690.0
186.3334,595.0
186.4067,670.0
186.4799,577.0
186.5532,733.0
186.6265,619.0
186.6997,671.0
186.773,665.0
186.8462,682.0
186.9195,616.0
186.9928,693.0
187.066,625.0
187.1392,664.0
187.2125,615.0
187.2857,782.0
187.3589,690.0
187.4322,764.0
187.5054,716.0
187.5786,757.0
187.6519,719.0
187.7251,857.0
187.7983,750.0
187.8715,816.0
187.9447,718.0
188.018,831.0
188.0912,740.0
188.1644,809.0
188.2376,710.0
188.3108,801.0
188.384,719.0
188.4572,790.0
188.5304,788.0
188.6036,839.0
188.6768,836.0
188.75,843.0
188.8232,773.0
188.8963,820.0
188.9695,781.0
189.0427,892.0
189.1159,825.0
189.1891,920.0
189.2623,852.0
189.3354,890.0
189.4086,928.0
189.4818,1000.0
189.5549,936.0
189.6281,986.0
189.7012,931.0
189.7744,924.0
189.8476,822.0
189.9207,882.0
189.9939,857.0
190.067,859.0
190.1402,890.0
190.2133,923.0
190.2864,813.0
190.3596,904.0
190.4327,805.0
190.5059,867.0
190.579,833.0
190.6521,918.0
190.7253,838.0
190.7984,866.0
190.8715,859.0
190.9446,948.0
191.0177,847.0
191.0908,923.0
191.164,929.0
191.2371,1017.0
191.3102,1028.0
191.3833,1095.0
191.4564,1051.0
191.5295,1102.0
191.6026,938.0
191.6757,1062.0
191.7488,975.0
191.8219,1005.0
191.895,901.0
191.968,961.0
192.0411,901.0
192.1142,1077.0
192.1873,922.0
192.2604,1080.0
192.3334,1010.0
192.4065,1108.0
192.4796,942.0
192.5527,1049.0
192.6257,1122.0
192.6988,1123.0
192.7718,966.0
192.8449,1041.0
192.918,1008.0
192.991,1109.0
193.064,1145.0
193.1371,1121.0
193.2101,1078.0
193.2832,1070.0
193.3562,998.0
193.4292,1032.0
193.5023,1000.0
193.5753,1057.0
193.6484,1087.0
193.7214,1179.0
193.7944,1028.0
193.8674,1138.0
193.9405,980.0
194.0135,1137.0
194.0865,993.0
194.1595,1092.0
194.2325,989.0
194.3055,1086.0
194.3785,1040.0
194.4515,1128.0
194.5246,1080.0
194.5975,1096.0
194.6705,991.0
194.7435,1050.0
194.8165,976.0
194.8895,1116.0
194.9625,1060.0
195.0355,1177.0
195.1085,1149.0
195.1815,1188.0
195.2544,1176.0
195.3274,1312.0
195.4004,1178.0
195.4734,1210.0
195.5463,1108.0
195.6193,1146.0
195.6923,1076.0
195.7652,1239.0
195.8382,1203.0
195.9111,1248.0
195.9841,1159.0
196.057,1202.0
196.13,1105.0
196.2029,1175.0
196.2759,1052.0
196.3488,1137.0
196.4218,1147.0
196.4947,1196.0
196.5676,1121.0
196.6406,1154.0
196.7135,1054.0
196.7864,1147.0
196.8593,1062.0
196.9323,1078.0
197.0052,997.0
197.0781,1041.0
197.151,955.0
197.2239,1003.0
197.2969,945.0
197.3697,1088.0
197.4427,978.0
197.5156,1071.0
197.5885,991.0
197.6614,1082.0
197.7343,958.0
197.8072,1091.0
197.88,949.0
197.9529,1051.0
198.0258,1015.0
198.0987,1135.0
198.1716,1107.0
198.2445,1142.0
198.3173,1121.0
198.3902,1145.0
198.4631,1083.0
198.5359,1175.0
198.6088,1025.0
198.6817,1276.0
198.7545,1218.0
198.8274,1189.0
198.9003,1179.0
198.9731,1204.0
199.046,1214.0
199.1188,1369.0
199.1917,1304.0
199.2645,1327.0
199.3373,1246.0
199.4102,1215.0
199.483,1136.0
199.5559,1218.0
199.6287,1167.0
199.7015,1177.0
199.7744,1067.0
199.8472,1174.0
199.92,1109.0
199.9928,1269.0
200.0656,1214.0
200.1385,1229.0
200.2113,1135.0
200.2841,1140.0
200.3569,1042.0
200.4297,1131.0
200.5025,1040.0
200.5753,1089.0
200.6481,1064.0
200.7209,1061.0
200.7937,1055.0
200.8665,1034.0
200.9393,1004.0
201.0121,1140.0
201.0848,1128.0
201.1576,1227.0
201.2304,1083.0
201.3032,1114.0
201.3759,1074.0
201.4487,1074.0
201.5215,1015.0
201.5943,1125.0
201.667,1035.0
201.7398,1083.0
201.8125,1037.0
201.8853,1161.0
201.958,1076.0
202.0308,1167.0
202.1035,1051.0
202.1763,1176.0
202.249,1056.0
202.3218,1098.0
202.3945,1009.0
202.4673,1117.0
202.54,1074.0
202.6127,1156.0
202.6855,1081.0
202.7582,1088.0
202.8309,1088.0
202.9036,1093.0
202.9764,982.0
203.0491,1102.0
203.1218,1026.0
203.1945,1132.0
203.2672,1162.0
203.3399,1239.0
203.4126,1143.0
203.4853,1225.0
203.558,1136.0
203.6307,1197.0
203.7034,1201.0
203.7761,1267.0
203.8488,1200.0
203.9215,1142.0
203.9942,1170.0
204.0669,1274.0
204.1395,1319.0
204.2122,1266.0
