Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,675.0
185.0142,609.0
185.0875,676.0
185.1608,634.0
185.2341,676.0
185.3074,589.0
185.3807,716.0
185.454,630.0
185.5273,679.0
185.6006,644.0
185.6739,676.0
185.7472,598.0
185.8205,707.0
185.8938,643.0
185.9671,750.0
186.0403,606.0
186.1136,689.0
186.1869,567.0
186.2601,713.0
186.3334,609.0
186.4067,673.0
186.4799,592.0
186.5532,665.0
186.6265,654.0
186.6997,694.0
186.773,626.0
186.8462,718.0
186.9195,630.0
186.9928,681.0
187.066,621.0
187.1392,709.0
187.2125,655.0
187.2857,797.0
187.3589,694.0
187.4322,788.0
187.5054,708.0
187.5786,759.0
187.6519,778.0
187.7251,829.0
187.7983,786.0
187.8715,836.0
187.9447,743.0
188.018,793.0
188.0912,742.0
188.1644,811.0
188.2376,724.0
188.3108,793.0
188.384,740.0
188.4572,807.0
188.5304,787.0
188.6036,844.0
188.6768,768.0
188.75,868.0
188.8232,765.0
188.8963,887.0
188.9695,832.0
189.0427,880.0
189.1159,826.0
189.1891,906.0
189.2623,865.0
189.3354,910.0
189.4086,942.0
189.4818,1041.0
189.5549,989.0
189.6281,1040.0
189.7012,869.0
189.7744,931.0
189.8476,866.0
189.9207,904.0
189.9939,876.0
190.067,948.0
190.1402,889.0
190.2133,883.0
190.2864,808.0
190.3596,912.0
190.4327,846.0
190.5059,864.0
190.579,887.0
190.6521,930.0
190.7253,858.0
190.7984,917.0
190.8715,886.0
190.9446,955.0
191.0177,855.0
191.0908,935.0
191.164,896.0
191.2371,1033.0
191.3102,991.0
191.3833,1153.0
191.4564,1101.0
191.5295,1126.0
191.6026,968.0
191.6757,1045.0
191.7488,986.0
191.8219,1060.0
191.895,995.0
191.968,1030.0
192.0411,950.0
192.1142,999.0
192.1873,960.0
192.2604,1115.0
192.3334,941.0
192.4065,1077.0
192.4796,1007.0
192.5527,1174.0
192.6257,1145.0
192.6988,1142.0
192.7718,1040.0
192.8449,1093.0
192.918,1011.0
192.991,1118.0
193.064,1091.0
193.1371,1118.0
193.2101,1086.0
193.2832,1067.0
193.3562,987.0
193.4292,1027.0
193.5023,973.0
193.5753,1071.0
193.6484,1025.0
193.7214,1195.0
193.7944,1097.0
193.8674,1182.0
193.9405,989.0
194.0135,1206.0
194.0865,1063.0
194.1595,1152.0
194.2325,1083.0
194.3055,1106.0
194.3785,1081.0
194.4515,1091.0
194.5246,1106.0
194.5975,1121.0
194.6705,1013.0
194.7435,1070.0
194.8165,995.0
194.8895,1103.0
194.9625,1070.0
195.0355,1202.0
195.1085,1165.0
195.1815,1235.0
195.2544,1185.0
195.3274,1353.0
195.4004,1201.0
195.4734,1292.0
195.5463,1057.0
195.6193,1180.0
195.6923,1102.0
195.7652,1202.0
195.8382,1162.0
195.9111,1234.0
195.9841,1194.0
196.057,1267.0
196.13,1207.0
196.2029,1195.0
196.2759,1045.0
196.3488,1199.0
196.4218,1177.0
196.4947,1165.0
196.5676,1147.0
196.6406,1182.0
196.7135,1029.0
196.7864,1118.0
196.8593,1040.0
196.9323,1039.0
197.0052,1021.0
197.0781,1046.0
197.151,995.0
197.2239,1054.0
197.2969,1005.0
197.3697,1080.0
197.4427,953.0
197.5156,1059.0
197.5885,1003.0
197.6614,1110.0
197.7343,938.0
197.8072,1134.0
197.88,1101.0
197.9529,1131.0
198.0258,1033.0
198.0987,1159.0
198.1716,1079.0
198.2445,1164.0
198.3173,1139.0
198.3902,1142.0
198.4631,1141.0
198.5359,1209.0
198.6088,1104.0
198.6817,1413.0
198.7545,1291.0
198.8274,1224.0
198.9003,1248.0
198.9731,1312.0
199.046,1188.0
199.1188,1453.0
199.1917,1420.0
199.2645,1352.0
199.3373,1306.0
199.4102,1294.0
199.483,1208.0
199.5559,1214.0
199.6287,1220.0
199.7015,1213.0
199.7744,1143.0
199.8472,1146.0
199.92,1175.0
199.9928,1306.0
200.0656,1278.0
200.1385,1393.0
200.2113,1165.0
200.2841,1171.0
200.3569,1049.0
200.4297,1095.0
200.5025,1022.0
200.5753,1104.0
200.6481,1015.0
200.7209,1118.0
200.7937,1067.0
200.8665,1127.0
200.9393,1012.0
201.0121,1141.0
201.0848,1111.0
201.1576,1271.0
201.2304,1109.0
201.3032,1142.0
201.3759,1126.0
201.4487,1077.0
201.5215,1061.0
201.5943,1158.0
201.667,1099.0
201.7398,1153.0
201.8125,1052.0
201.8853,1174.0
201.958,1147.0
202.0308,1197.0
202.1035,1094.0
202.1763,1178.0
202.249,1091.0
202.3218,1083.0
202.3945,1040.0
202.4673,1107.0
202.54,1129.0
202.6127,1161.0
202.6855,1103.0
202.7582,1132.0
202.8309,1055.0
202.9036,1074.0
202.9764,1026.0
203.0491,1151.0
203.1218,1100.0
203.1945,1199.0
203.2672,1185.0
203.3399,1231.0
203.4126,1125.0
203.4853,1282.0
203.558,1189.0
203.6307,1286.0
203.7034,1199.0
203.7761,1326.0
203.8488,1189.0
203.9215,1222.0
203.9942,1209.0
204.0669,1335.0
204.1395,1281.0
204.2122,1342.0
204.2849,1131.0
204.3576,1242.0
204.4302,1213.0
204.5029,1306.0
204.5756,1205.0
204.6482,1231.0
204.7209,1117.0
204.7935,1234.0
204.8662,1109.0
204.9389,1184.0
205.0115,1125.0
205.0842,1332.0
205.1568,1289.0
205.2294,1292.0
205.3021,1242.0
205.3747,1256.0
205.4474,1196.0
205.52,1374.0
205.5926,1352.0
205.6653,1485.0
205.7379,1356.0
205.8105,1420.0
205.8831,1463.0
205.9557,1468.0
206.0284,1432.0
206.101,1574.0
206.1736,1568.0
206.2462,1721.0
206.3188,1548.0
206.3914,1656.0
206.464,1921.0
206.5366,2254.0
206.6092,2504.0
206.6818,2530.0
206.7544,2502.0
206.827,2298.0
206.8996,1869.0
206.9721,1578.0
207.0447,1419.0
207.1173,1427.0
207.1899,1227.0
207.2625,1338.0
207.335,1225.0
207.4076,1323.0
207.4802,1233.0
207.5527,1255.0
207.6253,1183.0
207.6978,1278.0
207.7704,1299.0
207.843,1538.0
207.9155,1665.0
207.9881,1735.0
208.0606,1471.0
208.1331,1425.0
208.2057,1375.0
208.2782,1336.0
208.3508,1327.0
208.4233,1505.0
208.4958,1468.0
208.5684,1511.0
208.6409,1434.0
208.7134,1533.0
208.7859,1554.0
208.8584,1674.0
208.931,1665.0
209.0035,1779.0
209.076,1632.0
209.1485,1657.0
209.221,1299.0
209.2935,1412.0
209.366,1359.0
209.4385,1418.0
209.511,1284.0
209.5835,1439.0
209.656,1370.0
209.7285,1579.0
209.801,1551.0
209.8735,1568.0
209.9459,1433.0
210.0184,1433.0
210.0909,1295.0
210.1634,1383.0
210.2358,1228.0
210.3083,1306.0
210.3808,1234.0
210.4532,1315.0
210.5257,1283.0
210.5982,1266.0
210.6706,1265.0
210.7431,1339.0
210.8155,1331.0
210.888,1391.0
210.9604,1337.0
211.0329,1270.0
211.1053,1295.0
211.1777,1283.0
211.2502,1219.0
211.3226,1244.0
211.3951,1147.0
211.4675,1301.0
211.5399,1161.0
211.6123,1265.0
211.6847,1212.0
211.7572,1305.0
211.8296,1278.0
211.902,1418.0
211.9744,1238.0
212.0468,1204.0
212.1192,1158.0
212.1917,1151.0
212.264,1205.0
212.3364,1223.0
212.4088,1198.0
212.4812,1301.0
212.5536,1197.0
212.626,1270.0
212.6984,1159.0
212.7708,1185.0
212.8432,1146.0
212.9155,1204.0
212.9879,1171.0
213.0603,1189.0
213.1326,1182.0
213.205,1221.0
213.2774,1118.0
213.3498,1199.0
213.4221,1180.0
213.4945,1345.0
213.5668,1244.0
213.6392,1417.0
213.7115,1363.0
213.7839,1398.0
213.8562,1242.0
213.9286,1250.0
214.0009,1222.0
214.0732,1307.0
214.1456,1229.0
214.2179,1335.0
214.2903,1261.0
214.3626,1387.0
214.4349,1259.0
214.5072,1288.0
214.5796,1221.0
214.6519,1204.0
214.7242,1249.0
214.7965,1305.0
214.8688,1268.0
214.9411,1258.0
215.0134,1230.0
215.0857,1448.0
215.158,1352.0
215.2303,1338.0
215.3026,1261.0
215.3749,1297.0
215.4472,1240.0
215.5195,1298.0
215.5918,1235.0
215.6641,1330.0
215.7363,1136.0
215.8086,1282.0
215.8809,1249.0
215.9532,1361.0
216.0254,1323.0
216.0977,1326.0
216.17,1313.0
216.2422,1588.0
216.3145,1402.0
216.3867,1403.0
216.459,1395.0
216.5313,1512.0
216.6035,1344.0
216.6758,1671.0
216.748,1641.0
216.8202,1615.0
216.8925,1470.0
216.9647,1430.0
