Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,641.0
185.0142,562.0
185.0875,673.0
185.1608,629.0
185.2341,705.0
185.3074,608.0
185.3807,721.0
185.454,632.0
185.5273,654.0
185.6006,634.0
185.6739,662.0
185.7472,612.0
185.8205,684.0
185.8938,605.0
185.9671,715.0
186.0403,639.0
186.1136,678.0
186.1869,598.0
186.2601,720.0
186.3334,581.0
186.4067,667.0
186.4799,581.0
186.5532,665.0
186.6265,618.0
186.6997,700.0
186.773,631.0
186.8462,708.0
186.9195,630.0
186.9928,691.0
187.066,630.0
187.1392,661.0
187.2125,588.0
187.2857,677.0
187.3589,581.0
187.4322,669.0
187.5054,660.0
187.5786,672.0
187.6519,632.0
187.7251,720.0
187.7983,606.0
187.8715,760.0
187.9447,636.0
188.018,722.0
188.0912,614.0
188.1644,727.0
188.2376,614.0
188.3108,702.0
188.384,621.0
188.4572,681.0
188.5304,677.0
188.6036,747.0
188.6768,657.0
188.75,744.0
188.8232,660.0
188.8963,676.0
188.9695,647.0
189.0427,682.0
189.1159,618.0
189.1891,762.0
189.2623,674.0
189.3354,735.0
189.4086,701.0
189.4818,723.0
189.5549,683.0
189.6281,719.0
189.7012,661.0
189.7744,692.0
189.8476,675.0
189.9207,735.0
189.9939,685.0
190.067,692.0
190.1402,656.0
190.2133,721.0
190.2864,655.0
190.3596,758.0
190.4327,648.0
190.5059,702.0
190.579,680.0
190.6521,729.0
190.7253,665.0
190.7984,690.0
190.8715,655.0
190.9446,726.0
191.0177,652.0
191.0908,722.0
191.164,667.0
191.2371,769.0
191.3102,673.0
191.3833,728.0
191.4564,683.0
191.5295,737.0
191.6026,630.0
191.6757,768.0
191.7488,660.0
191.8219,755.0
191.895,656.0
191.968,777.0
192.0411,690.0
192.1142,746.0
192.1873,657.0
192.2604,730.0
192.3334,644.0
192.4065,757.0
192.4796,729.0
192.5527,748.0
192.6257,649.0
192.6988,798.0
192.7718,762.0
192.8449,838.0
192.918,836.0
192.991,1016.0
193.064,1085.0
193.1371,1119.0
193.2101,1061.0
193.2832,1000.0
193.3562,874.0
193.4292,886.0
193.5023,779.0
193.5753,858.0
193.6484,734.0
193.7214,833.0
193.7944,739.0
193.8674,799.0
193.9405,701.0
194.0135,775.0
194.0865,712.0
194.1595,787.0
194.2325,703.0
194.3055,780.0
194.3785,693.0
194.4515,772.0
194.5246,745.0
194.5975,817.0
194.6705,720.0
194.7435,764.0
194.8165,682.0
194.8895,814.0
194.9625,714.0
195.0355,768.0
195.1085,724.0
195.1815,779.0
195.2544,699.0
195.3274,801.0
195.4004,718.0
195.4734,790.0
195.5463,679.0
195.6193,791.0
195.6923,720.0
195.7652,769.0
195.8382,675.0
195.9111,787.0
195.9841,673.0
196.057,808.0
196.13,746.0
196.2029,775.0
196.2759,659.0
196.3488,766.0
196.4218,728.0
196.4947,777.0
196.5676,701.0
196.6406,801.0
196.7135,705.0
196.7864,806.0
196.8593,688.0
196.9323,782.0
197.0052,746.0
197.0781,786.0
197.151,681.0
197.2239,742.0
197.2969,705.0
197.3697,769.0
197.4427,707.0
197.5156,780.0
197.5885,719.0
197.6614,788.0
197.7343,662.0
197.8072,813.0
197.88,664.0
197.9529,743.0
198.0258,712.0
198.0987,837.0
198.1716,716.0
198.2445,746.0
198.3173,719.0
198.3902,772.0
198.4631,722.0
198.5359,828.0
198.6088,663.0
198.6817,785.0
198.7545,744.0
198.8274,783.0
198.9003,700.0
198.9731,807.0
199.046,702.0
199.1188,750.0
199.1917,749.0
199.2645,772.0
199.3373,725.0
199.4102,761.0
199.483,679.0
199.5559,734.0
199.6287,694.0
199.7015,774.0
199.7744,676.0
199.8472,757.0
199.92,713.0
199.9928,743.0
200.0656,687.0
200.1385,752.0
200.2113,724.0
200.2841,796.0
200.3569,687.0
200.4297,787.0
200.5025,690.0
200.5753,756.0
200.6481,718.0
200.7209,753.0
200.7937,689.0
200.8665,721.0
200.9393,672.0
201.0121,791.0
201.0848,664.0
201.1576,820.0
201.2304,664.0
201.3032,778.0
201.3759,705.0
201.4487,744.0
201.5215,716.0
201.5943,776.0
201.667,733.0
201.7398,786.0
201.8125,664.0
201.8853,780.0
201.958,668.0
202.0308,800.0
202.1035,729.0
202.1763,768.0
202.249,746.0
202.3218,756.0
202.3945,674.0
202.4673,812.0
202.54,702.0
202.6127,765.0
202.6855,686.0
202.7582,763.0
202.8309,684.0
202.9036,777.0
202.9764,670.0
203.0491,783.0
203.1218,681.0
203.1945,726.0
203.2672,706.0
203.3399,761.0
203.4126,671.0
203.4853,762.0
203.558,705.0
203.6307,759.0
203.7034,758.0
203.7761,751.0
203.8488,717.0
203.9215,758.0
203.9942,681.0
204.0669,713.0
204.1395,709.0
204.2122,792.0
204.2849,709.0
204.3576,770.0
204.4302,706.0
204.5029,776.0
204.5756,746.0
204.6482,756.0
204.7209,683.0
204.7935,771.0
204.8662,718.0
204.9389,811.0
205.0115,702.0
205.0842,831.0
205.1568,719.0
205.2294,731.0
205.3021,743.0
205.3747,753.0
205.4474,741.0
205.52,763.0
205.5926,681.0
205.6653,807.0
205.7379,668.0
205.8105,770.0
205.8831,739.0
205.9557,776.0
206.0284,697.0
206.101,750.0
206.1736,683.0
206.2462,785.0
206.3188,716.0
206.3914,738.0
206.464,733.0
206.5366,783.0
206.6092,682.0
206.6818,766.0
206.7544,719.0
206.827,778.0
206.8996,731.0
206.9721,749.0
207.0447,745.0
207.1173,755.0
207.1899,727.0
207.2625,777.0
207.335,732.0
207.4076,776.0
207.4802,735.0
207.5527,775.0
207.6253,676.0
207.6978,786.0
207.7704,724.0
207.843,779.0
207.9155,681.0
207.9881,758.0
208.0606,723.0
208.1331,760.0
208.2057,763.0
208.2782,732.0
208.3508,723.0
208.4233,839.0
208.4958,714.0
208.5684,797.0
208.6409,656.0
208.7134,755.0
208.7859,733.0
208.8584,771.0
208.931,700.0
209.0035,740.0
209.076,693.0
209.1485,820.0
209.221,683.0
209.2935,758.0
209.366,732.0
209.4385,812.0
209.511,656.0
209.5835,785.0
209.656,739.0
209.7285,766.0
209.801,702.0
209.8735,780.0
209.9459,716.0
210.0184,803.0
210.0909,689.0
210.1634,785.0
210.2358,700.0
210.3083,758.0
210.3808,707.0
210.4532,756.0
210.5257,724.0
210.5982,742.0
210.6706,681.0
210.7431,739.0
210.8155,720.0
210.888,736.0
210.9604,655.0
211.0329,760.0
211.1053,673.0
211.1777,746.0
211.2502,724.0
211.3226,709.0
211.3951,684.0
211.4675,756.0
211.5399,701.0
211.6123,774.0
211.6847,706.0
211.7572,766.0
211.8296,692.0
211.902,832.0
211.9744,713.0
212.0468,739.0
212.1192,693.0
212.1917,786.0
212.264,690.0
212.3364,784.0
212.4088,697.0
212.4812,810.0
212.5536,699.0
212.626,795.0
212.6984,698.0
212.7708,790.0
212.8432,711.0
212.9155,775.0
212.9879,689.0
213.0603,771.0
213.1326,691.0
213.205,801.0
213.2774,725.0
213.3498,760.0
213.4221,733.0
213.4945,741.0
213.5668,692.0
213.6392,756.0
213.7115,702.0
213.7839,780.0
213.8562,662.0
213.9286,738.0
214.0009,696.0
214.0732,771.0
214.1456,716.0
214.2179,817.0
214.2903,711.0
214.3626,794.0
214.4349,675.0
214.5072,786.0
214.5796,692.0
214.6519,763.0
214.7242,735.0
214.7965,779.0
214.8688,709.0
214.9411,740.0
215.0134,715.0
215.0857,803.0
215.158,703.0
215.2303,786.0
215.3026,792.0
215.3749,783.0
215.4472,721.0
215.5195,775.0
215.5918,719.0
215.6641,818.0
215.7363,721.0
215.8086,790.0
215.8809,699.0
215.9532,777.0
216.0254,761.0
216.0977,738.0
216.17,693.0
216.2422,787.0
216.3145,702.0
216.3867,864.0
216.459,705.0
216.5313,812.0
216.6035,715.0
216.6758,821.0
216.748,728.0
216.8202,758.0
216.8925,728.0
216.9647,803.0
217.037,736.0
217.1092,816.0
217.1814,719.0
217.2536,804.0
217.3259,713.0
217.3981,810.0
217.4703,726.0
217.5425,779.0
217.6147,748.0
217.687,806.0
217.7592,743.0
217.8314,833.0
217.9035,719.0
217.9758,774.0
218.048,777.0
218.1201,809.0
218.1924,728.0
218.2645,827.0
218.3367,731.0
218.4089,806.0
218.4811,730.0
218.5533,788.0
218.6255,649.0
218.6976,787.0
218.7698,751.0
218.842,819.0
218.9142,734.0
218.9863,774.0
219.0585,741.0
219.1306,833.0
219.2028,741.0
219.2749,815.0
219.3471,763.0
219.4193,798.0
219.4914,746.0
219.5636,814.0
219.6357,803.0
219.7078,789.0
219.78,757.0
219.8521,825.0
219.9242,773.0
219.9964,845.0
220.0685,750.0
220.1406,828.0
220.2128,772.0
220.2849,826.0
220.357,728.0
220.4291,853.0
220.5012,722.0
220.5733,790.0
220.6454,761.0
220.7175,828.0
220.7896,752.0
220.8617,857.0
220.9338,717.0
221.0059,816.0
221.078,782.0
221.1501,830.0
221.2222,770.0
221.2943,820.0
221.3663,732.0
221.4384,821.0
221.5105,767.0
221.5826,815.0
221.6546,756.0
221.7267,806.0
221.7988,730.0
221.8708,863.0
221.9429,771.0
222.015,830.0
222.087,791.0
222.1591,797.0
222.2311,767.0
222.3032,845.0
222.3752,733.0
222.4473,811.0
222.5193,742.0
222.5913,807.0
