Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,666.0
185.0142,568.0
185.0875,683.0
185.1608,649.0
185.2341,699.0
185.3074,609.0
185.3807,710.0
185.454,641.0
185.5273,678.0
185.6006,617.0
185.6739,668.0
185.7472,629.0
185.8205,678.0
185.8938,627.0
185.9671,736.0
186.0403,598.0
186.1136,652.0
186.1869,595.0
186.2601,697.0
186.3334,598.0
186.4067,721.0
186.4799,592.0
186.5532,691.0
186.6265,636.0
186.6997,691.0
186.773,632.0
186.8462,676.0
186.9195,629.0
186.9928,680.0
187.066,621.0
187.1392,684.0
187.2125,616.0
187.2857,698.0
187.3589,604.0
187.4322,720.0
187.5054,640.0
187.5786,690.0
187.6519,655.0
187.7251,716.0
187.7983,664.0
187.8715,732.0
187.9447,669.0
188.018,733.0
188.0912,610.0
188.1644,698.0
188.2376,642.0
188.3108,724.0
188.384,644.0
188.4572,671.0
188.5304,645.0
188.6036,715.0
188.6768,662.0
188.75,718.0
188.8232,651.0
188.8963,684.0
188.9695,663.0
189.0427,727.0
189.1159,669.0
189.1891,713.0
189.2623,672.0
189.3354,715.0
189.4086,661.0
189.4818,716.0
189.5549,666.0
189.6281,722.0
189.7012,665.0
189.7744,700.0
189.8476,612.0
189.9207,737.0
189.9939,685.0
190.067,730.0
190.1402,714.0
190.2133,724.0
190.2864,670.0
190.3596,772.0
190.4327,655.0
190.5059,733.0
190.579,670.0
190.6521,763.0
190.7253,634.0
190.7984,761.0
190.8715,676.0
190.9446,737.0
191.0177,667.0
191.0908,739.0
191.164,634.0
191.2371,788.0
191.3102,658.0
191.3833,705.0
191.4564,661.0
191.5295,743.0
191.6026,642.0
191.6757,797.0
191.7488,676.0
191.8219,726.0
191.895,723.0
191.968,769.0
192.0411,684.0
192.1142,764.0
192.1873,653.0
192.2604,759.0
192.3334,624.0
192.4065,732.0
192.4796,696.0
192.5527,756.0
192.6257,693.0
192.6988,780.0
192.7718,764.0
192.8449,848.0
192.918,846.0
192.991,1032.0
193.064,1034.0
193.1371,1138.0
193.2101,1040.0
193.2832,995.0
193.3562,868.0
193.4292,863.0
193.5023,809.0
193.5753,802.0
193.6484,753.0
193.7214,836.0
193.7944,751.0
193.8674,816.0
193.9405,711.0
194.0135,814.0
194.0865,692.0
194.1595,815.0
194.2325,734.0
194.3055,803.0
194.3785,711.0
194.4515,790.0
194.5246,741.0
194.5975,815.0
194.6705,677.0
194.7435,771.0
194.8165,695.0
194.8895,786.0
194.9625,685.0
195.0355,732.0
195.1085,665.0
195.1815,741.0
195.2544,709.0
195.3274,774.0
195.4004,678.0
195.4734,778.0
195.5463,648.0
195.6193,790.0
195.6923,727.0
195.7652,739.0
195.8382,699.0
195.9111,764.0
195.9841,695.0
196.057,787.0
196.13,749.0
196.2029,771.0
196.2759,684.0
196.3488,741.0
196.4218,727.0
196.4947,764.0
196.5676,701.0
196.6406,824.0
196.7135,688.0
196.7864,775.0
196.8593,682.0
196.9323,768.0
197.0052,732.0
197.0781,772.0
197.151,701.0
197.2239,759.0
197.2969,674.0
197.3697,764.0
197.4427,674.0
197.5156,784.0
197.5885,703.0
197.6614,759.0
197.7343,682.0
197.8072,767.0
197.88,676.0
