Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,685.0
185.0142,617.0
185.0875,662.0
185.1608,639.0
185.2341,686.0
185.3074,608.0
185.3807,752.0
185.454,633.0
185.5273,709.0
185.6006,629.0
185.6739,658.0
185.7472,654.0
185.8205,708.0
185.8938,620.0
185.9671,742.0
186.0403,619.0
186.1136,635.0
186.1869,620.0
186.2601,682.0
186.3334,611.0
186.4067,655.0
186.4799,605.0
186.5532,678.0
186.6265,649.0
186.6997,693.0
186.773,661.0
186.8462,684.0
186.9195,641.0
186.9928,700.0
187.066,636.0
187.1392,710.0
187.2125,654.0
187.2857,684.0
187.3589,612.0
187.4322,718.0
187.5054,649.0
187.5786,699.0
187.6519,676.0
187.7251,752.0
187.7983,681.0
187.8715,730.0
187.9447,663.0
188.018,720.0
188.0912,652.0
188.1644,722.0
188.2376,645.0
188.3108,711.0
188.384,652.0
188.4572,706.0
188.5304,683.0
188.6036,726.0
188.6768,703.0
188.75,748.0
188.8232,669.0
188.8963,723.0
188.9695,697.0
189.0427,763.0
189.1159,662.0
189.1891,736.0
189.2623,693.0
189.3354,726.0
189.4086,677.0
189.4818,741.0
189.5549,664.0
189.6281,722.0
189.7012,673.0
189.7744,738.0
189.8476,682.0
189.9207,744.0
189.9939,673.0
190.067,748.0
190.1402,683.0
190.2133,725.0
190.2864,642.0
190.3596,768.0
190.4327,696.0
190.5059,763.0
190.579,678.0
190.6521,745.0
190.7253,682.0
190.7984,722.0
190.8715,657.0
190.9446,747.0
191.0177,678.0
191.0908,707.0
191.164,689.0
191.2371,788.0
191.3102,679.0
191.3833,705.0
191.4564,647.0
191.5295,762.0
191.6026,700.0
191.6757,777.0
191.7488,688.0
191.8219,747.0
191.895,733.0
191.968,752.0
192.0411,686.0
192.1142,778.0
192.1873,685.0
192.2604,774.0
192.3334,658.0
192.4065,771.0
192.4796,687.0
192.5527,806.0
192.6257,663.0
192.6988,757.0
192.7718,717.0
192.8449,757.0
192.918,687.0
192.991,791.0
193.064,720.0
193.1371,826.0
193.2101,714.0
193.2832,777.0
193.3562,721.0
193.4292,744.0
193.5023,687.0
193.5753,755.0
193.6484,730.0
193.7214,800.0
193.7944,698.0
193.8674,751.0
193.9405,659.0
194.0135,765.0
194.0865,666.0
194.1595,783.0
194.2325,715.0
194.3055,841.0
194.3785,788.0
194.4515,909.0
194.5246,809.0
194.5975,821.0
194.6705,698.0
194.7435,782.0
194.8165,694.0
194.8895,790.0
194.9625,700.0
195.0355,773.0
195.1085,713.0
195.1815,781.0
195.2544,681.0
195.3274,788.0
195.4004,722.0
195.4734,794.0
195.5463,672.0
195.6193,788.0
195.6923,786.0
195.7652,823.0
195.8382,737.0
195.9111,820.0
195.9841,716.0
196.057,785.0
196.13,763.0
196.2029,842.0
196.2759,728.0
196.3488,788.0
196.4218,728.0
196.4947,815.0
196.5676,753.0
196.6406,816.0
196.7135,732.0
196.7864,818.0
196.8593,735.0
196.9323,830.0
197.0052,816.0
197.0781,832.0
197.151,703.0
197.2239,781.0
197.2969,731.0
197.3697,784.0
197.4427,702.0
197.5156,793.0
197.5885,756.0
197.6614,847.0
197.7343,736.0
197.8072,953.0
197.88,894.0
197.9529,1144.0
198.0258,1125.0
198.0987,1004.0
198.1716,822.0
198.2445,823.0
198.3173,752.0
198.3902,804.0
198.4631,756.0
198.5359,837.0
198.6088,725.0
198.6817,820.0
198.7545,842.0
198.8274,910.0
198.9003,956.0
198.9731,1096.0
199.046,948.0
199.1188,913.0
199.1917,787.0
199.2645,886.0
199.3373,806.0
199.4102,814.0
199.483,766.0
199.5559,831.0
199.6287,859.0
199.7015,913.0
199.7744,905.0
199.8472,1133.0
199.92,1191.0
199.9928,1617.0
200.0656,1532.0
200.1385,1250.0
200.2113,970.0
200.2841,919.0
200.3569,776.0
200.4297,896.0
200.5025,747.0
200.5753,849.0
200.6481,753.0
200.7209,806.0
200.7937,728.0
200.8665,797.0
200.9393,744.0
201.0121,830.0
201.0848,759.0
201.1576,870.0
201.2304,754.0
201.3032,872.0
201.3759,865.0
201.4487,925.0
201.5215,893.0
201.5943,955.0
201.667,870.0
201.7398,914.0
201.8125,776.0
201.8853,908.0
201.958,729.0
202.0308,857.0
202.1035,803.0
202.1763,898.0
202.249,850.0
202.3218,914.0
202.3945,874.0
202.4673,1055.0
202.54,1129.0
202.6127,1289.0
202.6855,1077.0
202.7582,1005.0
202.8309,847.0
202.9036,920.0
202.9764,848.0
203.0491,1024.0
203.1218,922.0
203.1945,1025.0
203.2672,1012.0
203.3399,1100.0
203.4126,1096.0
203.4853,1333.0
203.558,1572.0
203.6307,2110.0
203.7034,2164.0
203.7761,2112.0
203.8488,1620.0
203.9215,1270.0
203.9942,963.0
204.0669,1078.0
204.1395,956.0
204.2122,1196.0
204.2849,1309.0
204.3576,1711.0
204.4302,2081.0
204.5029,1782.0
204.5756,1254.0
204.6482,1088.0
204.7209,973.0
204.7935,1042.0
204.8662,871.0
204.9389,977.0
205.0115,846.0
205.0842,962.0
205.1568,903.0
205.2294,905.0
205.3021,1010.0
205.3747,1159.0
205.4474,1377.0
205.52,1793.0
205.5926,1800.0
205.6653,1461.0
205.7379,1005.0
205.8105,1016.0
205.8831,912.0
205.9557,888.0
206.0284,830.0
206.101,896.0
206.1736,790.0
206.2462,926.0
206.3188,864.0
206.3914,891.0
206.464,824.0
206.5366,915.0
206.6092,791.0
206.6818,894.0
206.7544,837.0
206.827,880.0
206.8996,811.0
206.9721,871.0
207.0447,847.0
207.1173,864.0
207.1899,812.0
207.2625,903.0
207.335,815.0
207.4076,871.0
207.4802,822.0
207.5527,894.0
207.6253,797.0
207.6978,895.0
207.7704,857.0
207.843,943.0
207.9155,899.0
207.9881,1018.0
208.0606,909.0
208.1331,960.0
208.2057,887.0
208.2782,957.0
208.3508,905.0
208.4233,1020.0
208.4958,958.0
208.5684,1073.0
208.6409,1044.0
208.7134,1056.0
208.7859,996.0
208.8584,1195.0
208.931,1032.0
209.0035,1088.0
209.076,994.0
209.1485,1046.0
209.221,897.0
209.2935,966.0
209.366,952.0
209.4385,1005.0
209.511,919.0
209.5835,1048.0
209.656,917.0
209.7285,1020.0
209.801,898.0
209.8735,1091.0
209.9459,1090.0
210.0184,1124.0
210.0909,992.0
210.1634,1067.0
210.2358,991.0
210.3083,1093.0
210.3808,1198.0
210.4532,1580.0
210.5257,1843.0
210.5982,1643.0
210.6706,1218.0
210.7431,1129.0
210.8155,1002.0
210.888,1071.0
210.9604,1069.0
211.0329,1295.0
211.1053,1398.0
211.1777,1859.0
211.2502,2439.0
211.3226,2200.0
211.3951,1597.0
211.4675,1353.0
211.5399,1125.0
211.6123,1217.0
211.6847,1128.0
211.7572,1402.0
211.8296,1388.0
211.902,1458.0
211.9744,1322.0
212.0468,1396.0
212.1192,1333.0
212.1917,1594.0
212.264,1973.0
212.3364,2605.0
212.4088,2414.0
212.4812,2018.0
212.5536,2043.0
212.626,2398.0
212.6984,2334.0
212.7708,1797.0
212.8432,1379.0
212.9155,1301.0
212.9879,1157.0
213.0603,1329.0
213.1326,1250.0
213.205,1347.0
213.2774,1402.0
213.3498,1664.0
213.4221,1942.0
213.4945,2625.0
213.5668,3255.0
213.6392,4031.0
213.7115,3344.0
213.7839,2443.0
213.8562,1870.0
213.9286,1579.0
214.0009,1351.0
214.0732,1296.0
214.1456,1197.0
214.2179,1187.0
214.2903,1123.0
214.3626,1113.0
214.4349,1070.0
214.5072,1136.0
214.5796,1063.0
214.6519,1233.0
214.7242,1260.0
214.7965,1457.0
214.8688,1716.0
214.9411,2145.0
215.0134,1862.0
215.0857,1500.0
215.158,1176.0
215.2303,1186.0
215.3026,1114.0
215.3749,1099.0
215.4472,1002.0
215.5195,1020.0
215.5918,963.0
215.6641,1033.0
215.7363,921.0
215.8086,1031.0
215.8809,916.0
215.9532,1011.0
216.0254,910.0
216.0977,988.0
216.17,1005.0
216.2422,1088.0
216.3145,1059.0
216.3867,1209.0
216.459,1086.0
216.5313,1278.0
216.6035,1144.0
216.6758,1087.0
216.748,1002.0
216.8202,1035.0
216.8925,929.0
216.9647,1052.0
217.037,963.0
217.1092,1061.0
217.1814,967.0
217.2536,992.0
217.3259,994.0
217.3981,1127.0
217.4703,1130.0
217.5425,1285.0
217.6147,1402.0
217.687,1547.0
217.7592,1581.0
217.8314,1897.0
217.9035,2460.0
217.9758,3119.0
218.048,2777.0
218.1201,2130.0
218.1924,1654.0
218.2645,1590.0
218.3367,1279.0
218.4089,1220.0
218.4811,1193.0
218.5533,1217.0
218.6255,1167.0
218.6976,1359.0
218.7698,1384.0
218.842,1688.0
218.9142,2072.0
218.9863,2971.0
219.0585,2905.0
219.1306,2916.0
219.2028,3418.0
219.2749,4038.0
219.3471,3243.0
219.4193,2436.0
219.4914,1840.0
219.5636,1625.0
219.6357,1615.0
219.7078,1661.0
219.78,1642.0
219.8521,1764.0
219.9242,1954.0
219.9964,2341.0
220.0685,2236.0
220.1406,1937.0
220.2128,1600.0
220.2849,1553.0
220.357,1334.0
220.4291,1288.0
220.5012,1224.0
220.5733,1260.0
220.6454,1286.0
220.7175,1331.0
220.7896,1398.0
220.8617,1572.0
220.9338,1784.0
221.0059,2425.0
221.078,2841.0
221.1501,2429.0
221.2222,1868.0
221.2943,1666.0
221.3663,1540.0
221.4384,1716.0
221.5105,1864.0
221.5826,2004.0
221.6546,2047.0
221.7267,2376.0
221.7988,2946.0
221.8708,3462.0
221.9429,2568.0
222.015,2003.0
222.087,1534.0
222.1591,1485.0
222.2311,1377.0
222.3032,1380.0
222.3752,1293.0
222.4473,1393.0
222.5193,1400.0
222.5913,1716.0
222.6634,1854.0
222.7354,2214.0
222.8074,2690.0
222.8795,3280.0
222.9515,3266.0
223.0235,3059.0
223.0955,2645.0
223.1675,2275.0
223.2395,1932.0
223.3116,1643.0
223.3836,1501.0
223.4556,1518.0
223.5276,1375.0
223.5996,1402.0
223.6716,1319.0
223.7436,1422.0
223.8156,1405.0
223.8876,1449.0
223.9595,1375.0
224.0315,1627.0
224.1035,1847.0
224.1755,2342.0
224.2475,3260.0
224.3195,3985.0
224.3914,3233.0
224.4634,2581.0
224.5354,2347.0
224.6073,2770.0
224.6793,3662.0
224.7512,4214.0
224.8232,3524.0
224.8952,2393.0
224.9671,1737.0
225.0391,1549.0
225.111,1411.0
225.1829,1396.0
225.2549,1270.0
225.3268,1242.0
225.3988,1148.0
225.4707,1209.0
225.5426,1154.0
225.6146,1213.0
225.6865,1125.0
225.7584,1126.0
225.8303,1056.0
225.9022,1153.0
225.9742,1064.0
226.0461,1106.0
226.118,1033.0
226.1899,1128.0
226.2618,1108.0
226.3337,1186.0
226.4056,1261.0
226.4775,1296.0
226.5494,1196.0
226.6213,1170.0
226.6932,1105.0
226.7651,1070.0
226.8369,1036.0
226.9088,1070.0
226.9807,987.0
227.0526,1084.0
227.1245,951.0
227.1963,1034.0
227.2682,1055.0
227.3401,1071.0
227.4119,1042.0
227.4838,1187.0
227.5556,1313.0
227.6275,1697.0
227.6993,1675.0
227.7712,1395.0
227.8431,1085.0
227.9149,1096.0
227.9867,958.0
228.0586,983.0
228.1304,889.0
228.2023,996.0
228.2741,934.0
228.3459,1013.0
228.4177,921.0
228.4896,972.0
228.5614,910.0
228.6332,935.0
228.705,926.0
228.7768,1038.0
228.8486,928.0
228.9205,1043.0
228.9923,943.0
229.0641,1063.0
229.1359,961.0
229.2077,1112.0
229.2794,1143.0
229.3513,1281.0
229.423,1579.0
229.4948,1816.0
229.5666,1394.0
229.6384,1173.0
229.7102,1038.0
229.782,1049.0
229.8537,966.0
229.9255,947.0
229.9973,930.0
230.069,981.0
230.1408,900.0
230.2126,965.0
230.2843,893.0
230.3561,1007.0
230.4278,864.0
230.4996,890.0
230.5713,818.0
230.6431,916.0
230.7148,853.0
230.7866,884.0
230.8583,811.0
230.93,883.0
231.0018,820.0
231.0735,908.0
231.1452,776.0
231.2169,901.0
231.2887,809.0
231.3604,912.0
231.4321,820.0
231.5038,858.0
231.5755,856.0
231.6472,864.0
231.7189,824.0
231.7906,888.0
231.8624,819.0
231.9341,908.0
232.0057,798.0
232.0774,876.0
232.1491,798.0
232.2208,883.0
232.2925,848.0
232.3642,881.0
232.4359,848.0
232.5075,889.0
232.5792,811.0
232.6509,884.0
232.7225,808.0
232.7942,898.0
232.8659,746.0
232.9375,863.0
233.0092,770.0
233.0809,880.0
233.1525,819.0
233.2242,903.0
233.2958,833.0
233.3675,875.0
233.4391,820.0
233.5107,867.0
233.5824,781.0
233.654,876.0
233.7256,837.0
233.7973,882.0
233.8689,847.0
233.9405,900.0
234.0121,824.0
234.0838,838.0
234.1554,821.0
234.227,835.0
234.2986,798.0
234.3702,870.0
234.4418,765.0
234.5134,872.0
234.585,791.0
234.6566,865.0
234.7282,807.0
234.7998,882.0
234.8714,798.0
234.943,895.0
235.0146,796.0
235.0862,881.0
235.1577,801.0
235.2293,863.0
235.3009,765.0
235.3725,908.0
235.444,776.0
235.5156,894.0
235.5872,853.0
235.6587,926.0
235.7303,918.0
235.8018,932.0
235.8734,859.0
235.9449,936.0
236.0165,825.0
236.088,889.0
236.1596,806.0
236.2311,895.0
236.3026,832.0
236.3742,882.0
236.4457,888.0
236.5172,895.0
236.5887,893.0
236.6603,976.0
236.7318,909.0
236.8033,1104.0
236.8748,1255.0
236.9464,1762.0
237.0179,2180.0
237.0894,1980.0
237.1609,1334.0
237.2324,1113.0
237.3039,947.0
237.3754,986.0
237.4469,890.0
237.5184,977.0
237.5898,874.0
237.6613,1009.0
237.7328,949.0
237.8043,981.0
237.8758,930.0
237.9472,943.0
238.0187,824.0
238.0902,984.0
238.1617,852.0
238.2331,959.0
238.3046,869.0
238.376,926.0
238.4475,840.0
238.519,884.0
238.5904,863.0
238.6618,928.0
238.7333,883.0
238.8047,910.0
238.8762,844.0
238.9476,923.0
239.0191,832.0
239.0905,953.0
239.1619,811.0
