Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,663.0
185.0142,618.0
185.0875,647.0
185.1608,634.0
185.2341,677.0
185.3074,597.0
185.3807,701.0
185.454,663.0
185.5273,693.0
185.6006,674.0
185.6739,664.0
185.7472,606.0
185.8205,681.0
185.8938,658.0
185.9671,731.0
186.0403,626.0
186.1136,659.0
186.1869,586.0
186.2601,697.0
186.3334,589.0
186.4067,689.0
186.4799,593.0
186.5532,695.0
186.6265,668.0
186.6997,662.0
186.773,642.0
186.8462,716.0
186.9195,633.0
186.9928,700.0
187.066,637.0
187.1392,715.0
187.2125,584.0
187.2857,724.0
187.3589,660.0
187.4322,740.0
187.5054,677.0
187.5786,690.0
187.6519,684.0
187.7251,742.0
187.7983,634.0
187.8715,724.0
187.9447,653.0
188.018,744.0
188.0912,647.0
188.1644,705.0
188.2376,618.0
188.3108,732.0
188.384,658.0
188.4572,707.0
188.5304,704.0
188.6036,713.0
188.6768,674.0
188.75,741.0
188.8232,647.0
188.8963,686.0
188.9695,640.0
189.0427,731.0
189.1159,666.0
189.1891,733.0
189.2623,695.0
189.3354,760.0
189.4086,691.0
189.4818,743.0
189.5549,684.0
189.6281,777.0
189.7012,704.0
189.7744,775.0
189.8476,677.0
189.9207,760.0
189.9939,720.0
190.067,730.0
190.1402,699.0
190.2133,712.0
190.2864,694.0
190.3596,802.0
190.4327,693.0
190.5059,763.0
190.579,718.0
190.6521,759.0
190.7253,683.0
190.7984,750.0
190.8715,687.0
190.9446,745.0
191.0177,657.0
191.0908,743.0
191.164,683.0
191.2371,793.0
191.3102,704.0
191.3833,800.0
191.4564,719.0
191.5295,807.0
191.6026,676.0
191.6757,808.0
191.7488,684.0
191.8219,787.0
191.895,667.0
191.968,758.0
192.0411,730.0
192.1142,786.0
192.1873,695.0
192.2604,777.0
192.3334,683.0
192.4065,851.0
192.4796,731.0
192.5527,789.0
192.6257,708.0
192.6988,771.0
192.7718,721.0
192.8449,775.0
192.918,692.0
192.991,776.0
193.064,749.0
193.1371,788.0
193.2101,747.0
193.2832,792.0
193.3562,716.0
193.4292,792.0
193.5023,688.0
193.5753,785.0
193.6484,706.0
193.7214,830.0
193.7944,702.0
193.8674,800.0
193.9405,678.0
194.0135,835.0
194.0865,697.0
194.1595,829.0
194.2325,724.0
194.3055,807.0
194.3785,795.0
194.4515,940.0
194.5246,844.0
194.5975,850.0
194.6705,725.0
194.7435,811.0
194.8165,692.0
194.8895,810.0
194.9625,719.0
195.0355,784.0
195.1085,727.0
195.1815,786.0
195.2544,713.0
195.3274,785.0
195.4004,744.0
