Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,661.0
185.0142,612.0
185.0875,682.0
185.1608,633.0
185.2341,705.0
185.3074,598.0
185.3807,708.0
185.454,665.0
185.5273,692.0
185.6006,650.0
185.6739,681.0
185.7472,608.0
185.8205,690.0
185.8938,644.0
185.9671,743.0
186.0403,618.0
186.1136,684.0
186.1869,579.0
186.2601,710.0
186.3334,591.0
186.4067,699.0
186.4799,596.0
186.5532,683.0
186.6265,645.0
186.6997,695.0
186.773,643.0
186.8462,678.0
186.9195,631.0
186.9928,674.0
187.066,631.0
187.1392,665.0
187.2125,625.0
187.2857,695.0
187.3589,659.0
187.4322,695.0
187.5054,686.0
187.5786,700.0
187.6519,659.0
187.7251,735.0
187.7983,687.0
187.8715,715.0
187.9447,664.0
188.018,723.0
188.0912,657.0
188.1644,759.0
188.2376,653.0
188.3108,716.0
188.384,651.0
188.4572,672.0
188.5304,735.0
188.6036,762.0
188.6768,730.0
188.75,749.0
188.8232,644.0
188.8963,743.0
188.9695,657.0
189.0427,741.0
189.1159,686.0
189.1891,740.0
189.2623,671.0
189.3354,742.0
189.4086,704.0
189.4818,755.0
189.5549,700.0
189.6281,755.0
189.7012,661.0
189.7744,768.0
189.8476,697.0
189.9207,730.0
189.9939,687.0
190.067,730.0
190.1402,712.0
190.2133,758.0
190.2864,705.0
190.3596,805.0
190.4327,717.0
190.5059,746.0
190.579,707.0
190.6521,778.0
190.7253,690.0
190.7984,790.0
190.8715,705.0
190.9446,767.0
191.0177,691.0
191.0908,743.0
191.164,729.0
191.2371,804.0
191.3102,717.0
191.3833,767.0
191.4564,681.0
191.5295,780.0
191.6026,712.0
191.6757,792.0
191.7488,697.0
191.8219,790.0
191.895,740.0
191.968,758.0
192.0411,704.0
192.1142,784.0
192.1873,677.0
192.2604,836.0
192.3334,675.0
192.4065,794.0
192.4796,700.0
192.5527,786.0
192.6257,694.0
192.6988,789.0
192.7718,741.0
192.8449,784.0
192.918,757.0
192.991,841.0
193.064,806.0
193.1371,818.0
193.2101,748.0
193.2832,822.0
193.3562,746.0
193.4292,829.0
193.5023,703.0
193.5753,800.0
193.6484,749.0
193.7214,799.0
193.7944,776.0
193.8674,807.0
193.9405,744.0
194.0135,800.0
194.0865,755.0
194.1595,870.0
194.2325,759.0
194.3055,822.0
194.3785,752.0
194.4515,821.0
194.5246,763.0
194.5975,839.0
194.6705,705.0
194.7435,796.0
194.8165,730.0
194.8895,827.0
194.9625,783.0
195.0355,842.0
195.1085,798.0
195.1815,925.0
195.2544,887.0
195.3274,923.0
195.4004,831.0
195.4734,837.0
195.5463,740.0
195.6193,915.0
195.6923,823.0
195.7652,865.0
195.8382,756.0
195.9111,858.0
195.9841,777.0
196.057,845.0
196.13,758.0
196.2029,832.0
196.2759,751.0
196.3488,852.0
196.4218,810.0
196.4947,973.0
196.5676,832.0
196.6406,871.0
196.7135,750.0
196.7864,889.0
196.8593,770.0
196.9323,818.0
197.0052,797.0
197.0781,841.0
197.151,764.0
197.2239,803.0
197.2969,753.0
197.3697,898.0
197.4427,780.0
197.5156,866.0
197.5885,807.0
197.6614,922.0
197.7343,771.0
197.8072,858.0
197.88,797.0
197.9529,869.0
198.0258,825.0
198.0987,889.0
198.1716,795.0
198.2445,890.0
198.3173,812.0
198.3902,854.0
198.4631,746.0
198.5359,843.0
198.6088,739.0
198.6817,832.0
198.7545,809.0
198.8274,785.0
198.9003,763.0
198.9731,837.0
199.046,772.0
199.1188,856.0
199.1917,790.0
199.2645,881.0
199.3373,770.0
199.4102,838.0
199.483,756.0
199.5559,813.0
199.6287,796.0
199.7015,859.0
