Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,674.0
185.0142,589.0
185.0875,717.0
185.1608,639.0
185.2341,706.0
185.3074,607.0
185.3807,714.0
185.454,656.0
185.5273,685.0
185.6006,645.0
185.6739,673.0
185.7472,631.0
185.8205,660.0
185.8938,582.0
185.9671,744.0
186.0403,612.0
186.1136,685.0
186.1869,634.0
186.2601,685.0
186.3334,630.0
186.4067,668.0
186.4799,588.0
186.5532,651.0
186.6265,636.0
186.6997,703.0
186.773,654.0
186.8462,720.0
186.9195,633.0
186.9928,646.0
187.066,641.0
187.1392,689.0
187.2125,636.0
187.2857,690.0
187.3589,637.0
187.4322,726.0
187.5054,668.0
187.5786,740.0
187.6519,659.0
187.7251,760.0
187.7983,677.0
187.8715,718.0
187.9447,612.0
188.018,729.0
188.0912,666.0
188.1644,778.0
188.2376,643.0
188.3108,744.0
188.384,658.0
188.4572,703.0
188.5304,725.0
188.6036,763.0
188.6768,674.0
188.75,787.0
188.8232,645.0
188.8963,692.0
188.9695,691.0
189.0427,721.0
189.1159,689.0
189.1891,742.0
189.2623,690.0
189.3354,751.0
189.4086,678.0
189.4818,754.0
189.5549,703.0
189.6281,763.0
189.7012,695.0
189.7744,757.0
189.8476,697.0
189.9207,801.0
189.9939,727.0
190.067,747.0
190.1402,710.0
190.2133,738.0
190.2864,686.0
190.3596,837.0
190.4327,729.0
190.5059,749.0
190.579,735.0
190.6521,739.0
190.7253,686.0
190.7984,746.0
190.8715,692.0
190.9446,793.0
191.0177,699.0
191.0908,811.0
191.164,723.0
191.2371,794.0
191.3102,702.0
191.3833,785.0
191.4564,709.0
191.5295,805.0
191.6026,665.0
191.6757,805.0
191.7488,724.0
191.8219,750.0
191.895,710.0
191.968,792.0
192.0411,784.0
192.1142,820.0
192.1873,657.0
192.2604,805.0
192.3334,708.0
192.4065,866.0
192.4796,736.0
192.5527,808.0
192.6257,762.0
192.6988,768.0
192.7718,733.0
192.8449,770.0
192.918,754.0
192.991,885.0
193.064,780.0
193.1371,820.0
193.2101,803.0
193.2832,819.0
193.3562,758.0
193.4292,804.0
193.5023,744.0
193.5753,839.0
193.6484,769.0
193.7214,893.0
193.7944,742.0
193.8674,866.0
193.9405,791.0
194.0135,876.0
194.0865,742.0
194.1595,887.0
194.2325,771.0
194.3055,851.0
194.3785,790.0
194.4515,831.0
194.5246,793.0
194.5975,839.0
194.6705,745.0
194.7435,817.0
194.8165,701.0
194.8895,836.0
194.9625,757.0
195.0355,856.0
195.1085,844.0
195.1815,978.0
195.2544,878.0
195.3274,938.0
195.4004,834.0
195.4734,860.0
195.5463,733.0
195.6193,889.0
195.6923,851.0
195.7652,843.0
195.8382,800.0
195.9111,866.0
195.9841,766.0
196.057,867.0
196.13,809.0
196.2029,882.0
196.2759,773.0
196.3488,875.0
196.4218,881.0
196.4947,946.0
196.5676,879.0
196.6406,874.0
196.7135,775.0
196.7864,876.0
196.8593,773.0
196.9323,849.0
197.0052,807.0
197.0781,857.0
197.151,780.0
197.2239,808.0
197.2969,800.0
197.3697,877.0
197.4427,778.0
197.5156,918.0
197.5885,774.0
197.6614,940.0
197.7343,804.0
197.8072,939.0
197.88,781.0
197.9529,905.0
198.0258,844.0
198.0987,936.0
198.1716,835.0
198.2445,848.0
198.3173,838.0
198.3902,884.0
198.4631,772.0
198.5359,897.0
198.6088,748.0
198.6817,867.0
198.7545,818.0
198.8274,804.0
198.9003,834.0
198.9731,906.0
199.046,789.0
199.1188,865.0
199.1917,828.0
199.2645,893.0
199.3373,825.0
199.4102,882.0
199.483,806.0
199.5559,858.0
199.6287,892.0
199.7015,902.0
199.7744,825.0
199.8472,819.0
199.92,749.0
199.9928,864.0
