Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,654.0
185.0142,597.0
185.0875,699.0
185.1608,675.0
185.2341,685.0
185.3074,639.0
185.3807,688.0
185.454,641.0
185.5273,687.0
185.6006,642.0
185.6739,641.0
185.7472,622.0
185.8205,704.0
185.8938,635.0
185.9671,717.0
186.0403,600.0
186.1136,679.0
186.1869,616.0
186.2601,705.0
186.3334,594.0
186.4067,716.0
186.4799,619.0
186.5532,646.0
186.6265,664.0
186.6997,671.0
186.773,646.0
186.8462,687.0
186.9195,643.0
186.9928,680.0
187.066,635.0
187.1392,679.0
187.2125,653.0
187.2857,735.0
187.3589,682.0
187.4322,729.0
187.5054,725.0
187.5786,720.0
187.6519,675.0
187.7251,775.0
187.7983,658.0
187.8715,754.0
187.9447,710.0
188.018,755.0
188.0912,661.0
188.1644,771.0
188.2376,695.0
188.3108,743.0
188.384,655.0
188.4572,728.0
188.5304,747.0
188.6036,749.0
188.6768,707.0
188.75,807.0
188.8232,678.0
188.8963,779.0
188.9695,714.0
189.0427,751.0
189.1159,693.0
189.1891,781.0
189.2623,717.0
189.3354,781.0
189.4086,753.0
189.4818,810.0
189.5549,730.0
189.6281,810.0
189.7012,740.0
189.7744,786.0
189.8476,755.0
189.9207,829.0
189.9939,763.0
190.067,772.0
190.1402,719.0
190.2133,781.0
190.2864,716.0
190.3596,827.0
190.4327,764.0
190.5059,771.0
190.579,734.0
190.6521,802.0
190.7253,705.0
190.7984,792.0
190.8715,733.0
190.9446,823.0
191.0177,763.0
191.0908,764.0
191.164,700.0
191.2371,856.0
191.3102,753.0
191.3833,827.0
191.4564,754.0
191.5295,842.0
191.6026,722.0
191.6757,888.0
191.7488,789.0
191.8219,829.0
191.895,791.0
191.968,827.0
192.0411,822.0
192.1142,924.0
192.1873,754.0
192.2604,865.0
192.3334,757.0
192.4065,881.0
192.4796,808.0
192.5527,853.0
192.6257,784.0
192.6988,838.0
192.7718,736.0
192.8449,832.0
192.918,754.0
192.991,856.0
193.064,873.0
193.1371,864.0
193.2101,798.0
193.2832,829.0
193.3562,832.0
193.4292,876.0
193.5023,780.0
193.5753,817.0
193.6484,772.0
193.7214,928.0
193.7944,818.0
193.8674,860.0
193.9405,774.0
194.0135,864.0
194.0865,786.0
194.1595,919.0
194.2325,862.0
194.3055,1037.0
194.3785,974.0
194.4515,1199.0
194.5246,1011.0
194.5975,1011.0
194.6705,838.0
194.7435,909.0
194.8165,781.0
194.8895,927.0
194.9625,847.0
195.0355,925.0
195.1085,806.0
195.1815,918.0
195.2544,863.0
195.3274,875.0
195.4004,908.0
195.4734,895.0
195.5463,841.0
195.6193,953.0
195.6923,881.0
195.7652,966.0
195.8382,857.0
195.9111,892.0
195.9841,898.0
196.057,962.0
196.13,885.0
196.2029,950.0
196.2759,822.0
196.3488,913.0
196.4218,905.0
196.4947,954.0
196.5676,897.0
196.6406,975.0
196.7135,846.0
196.7864,970.0
196.8593,893.0
196.9323,954.0
197.0052,981.0
197.0781,1011.0
197.151,909.0
197.2239,922.0
197.2969,937.0
197.3697,968.0
197.4427,887.0
197.5156,990.0
197.5885,943.0
197.6614,1036.0
197.7343,1002.0
197.8072,1283.0
197.88,1443.0
197.9529,1931.0
198.0258,1916.0
198.0987,1427.0
198.1716,1063.0
198.2445,1077.0
198.3173,983.0
198.3902,1048.0
198.4631,961.0
198.5359,1059.0
198.6088,896.0
198.6817,1125.0
198.7545,1104.0
198.8274,1176.0
198.9003,1441.0
198.9731,1794.0
199.046,1470.0
199.1188,1284.0
199.1917,1064.0
199.2645,1148.0
199.3373,987.0
199.4102,1079.0
199.483,1032.0
199.5559,1090.0
199.6287,1092.0
199.7015,1267.0
199.7744,1299.0
199.8472,1722.0
199.92,2095.0
199.9928,2964.0
200.0656,2827.0
200.1385,2079.0
200.2113,1471.0
200.2841,1355.0
200.3569,1132.0
200.4297,1147.0
200.5025,1031.0
200.5753,1153.0
200.6481,1097.0
200.7209,1070.0
200.7937,1013.0
200.8665,1081.0
200.9393,1044.0
201.0121,1196.0
201.0848,1115.0
201.1576,1310.0
201.2304,1228.0
201.3032,1344.0
201.3759,1374.0
201.4487,1473.0
201.5215,1567.0
201.5943,1652.0
201.667,1662.0
201.7398,1707.0
201.8125,1484.0
201.8853,1719.0
201.958,1668.0
202.0308,1883.0
202.1035,2051.0
202.1763,2442.0
202.249,2817.0
202.3218,3314.0
202.3945,4343.0
202.4673,5619.0
202.54,6537.0
202.6127,7118.0
202.6855,6281.0
202.7582,5109.0
202.8309,3887.0
202.9036,3256.0
202.9764,2679.0
203.0491,2638.0
203.1218,2360.0
203.1945,2425.0
203.2672,2312.0
203.3399,2319.0
203.4126,2319.0
203.4853,2770.0
203.558,3492.0
203.6307,4520.0
203.7034,4511.0
203.7761,4161.0
203.8488,3105.0
203.9215,2358.0
203.9942,1934.0
204.0669,1889.0
204.1395,1896.0
204.2122,2214.0
204.2849,2473.0
204.3576,3499.0
204.4302,4334.0
204.5029,3486.0
204.5756,2461.0
204.6482,1906.0
204.7209,1663.0
204.7935,1697.0
204.8662,1609.0
204.9389,1644.0
205.0115,1597.0
205.0842,1725.0
205.1568,1708.0
205.2294,1820.0
205.3021,2034.0
205.3747,2438.0
205.4474,3042.0
205.52,3970.0
205.5926,4048.0
205.6653,3191.0
205.7379,2553.0
205.8105,2639.0
205.8831,2867.0
205.9557,3352.0
206.0284,4155.0
206.101,5512.0
206.1736,7093.0
206.2462,8335.0
206.3188,7938.0
206.3914,6643.0
206.464,5764.0
206.5366,5244.0
206.6092,4571.0
206.6818,4111.0
206.7544,3371.0
206.827,3002.0
206.8996,2700.0
206.9721,2653.0
207.0447,2545.0
207.1173,2475.0
207.1899,2101.0
207.2625,2046.0
207.335,1912.0
207.4076,1828.0
207.4802,1755.0
207.5527,1722.0
207.6253,1683.0
207.6978,1796.0
207.7704,1798.0
207.843,1955.0
207.9155,2189.0
