Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0090 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,635.0
185.0142,627.0
185.0875,673.0
185.1608,669.0
185.2341,698.0
185.3074,607.0
185.3807,721.0
185.454,634.0
185.5273,666.0
185.6006,649.0
185.6739,673.0
185.7472,600.0
185.8205,719.0
185.8938,665.0
185.9671,718.0
186.0403,610.0
186.1136,696.0
186.1869,607.0
186.2601,674.0
186.3334,649.0
186.4067,679.0
186.4799,604.0
186.5532,707.0
186.6265,611.0
186.6997,722.0
186.773,653.0
186.8462,718.0
186.9195,617.0
186.9928,659.0
187.066,635.0
187.1392,698.0
187.2125,615.0
187.2857,740.0
187.3589,685.0
187.4322,721.0
187.5054,683.0
187.5786,797.0
187.6519,686.0
187.7251,770.0
187.7983,718.0
187.8715,755.0
187.9447,658.0
188.018,795.0
188.0912,681.0
188.1644,753.0
188.2376,667.0
188.3108,753.0
188.384,645.0
188.4572,734.0
188.5304,732.0
188.6036,769.0
188.6768,670.0
188.75,772.0
188.8232,687.0
188.8963,756.0
188.9695,696.0
189.0427,757.0
189.1159,700.0
189.1891,783.0
189.2623,704.0
189.3354,790.0
189.4086,744.0
189.4818,738.0
189.5549,727.0
189.6281,754.0
189.7012,701.0
189.7744,776.0
189.8476,703.0
189.9207,787.0
189.9939,775.0
190.067,790.0
190.1402,734.0
190.2133,771.0
190.2864,691.0
190.3596,807.0
190.4327,761.0
190.5059,785.0
190.579,747.0
190.6521,785.0
190.7253,695.0
190.7984,764.0
190.8715,726.0
190.9446,825.0
191.0177,724.0
191.0908,801.0
191.164,714.0
191.2371,821.0
191.3102,744.0
191.3833,812.0
191.4564,758.0
191.5295,817.0
191.6026,720.0
191.6757,910.0
191.7488,774.0
191.8219,831.0
191.895,790.0
191.968,822.0
192.0411,761.0
192.1142,889.0
192.1873,723.0
192.2604,851.0
192.3334,757.0
192.4065,820.0
192.4796,792.0
192.5527,849.0
192.6257,787.0
192.6988,852.0
192.7718,804.0
192.8449,834.0
192.918,762.0
192.991,829.0
193.064,788.0
193.1371,834.0
193.2101,759.0
193.2832,863.0
193.3562,804.0
193.4292,828.0
193.5023,795.0
193.5753,887.0
193.6484,773.0
193.7214,896.0
193.7944,806.0
193.8674,873.0
193.9405,779.0
194.0135,940.0
194.0865,820.0
194.1595,955.0
194.2325,824.0
194.3055,967.0
194.3785,958.0
194.4515,1182.0
194.5246,993.0
194.5975,938.0
194.6705,797.0
194.7435,899.0
194.8165,809.0
194.8895,876.0
194.9625,845.0
195.0355,852.0
195.1085,831.0
195.1815,868.0
195.2544,838.0
195.3274,876.0
195.4004,822.0
195.4734,907.0
195.5463,800.0
195.6193,925.0
195.6923,822.0
195.7652,939.0
195.8382,823.0
195.9111,920.0
195.9841,790.0
196.057,937.0
196.13,877.0
196.2029,919.0
196.2759,836.0
196.3488,893.0
196.4218,900.0
196.4947,962.0
196.5676,869.0
196.6406,986.0
196.7135,828.0
196.7864,946.0
196.8593,861.0
196.9323,924.0
197.0052,997.0
197.0781,958.0
197.151,859.0
197.2239,924.0
197.2969,798.0
197.3697,960.0
197.4427,873.0
197.5156,949.0
197.5885,938.0
197.6614,1001.0
197.7343,978.0
197.8072,1198.0
197.88,1330.0
197.9529,1775.0
198.0258,1744.0
198.0987,1329.0
198.1716,963.0
198.2445,1065.0
198.3173,937.0
198.3902,964.0
198.4631,932.0
198.5359,1003.0
198.6088,880.0
198.6817,1080.0
198.7545,1088.0
198.8274,1198.0
198.9003,1379.0
198.9731,1704.0
199.046,1414.0
199.1188,1184.0
199.1917,1021.0
199.2645,1095.0
199.3373,960.0
199.4102,1051.0
199.483,984.0
199.5559,1030.0
199.6287,1105.0
199.7015,1176.0
199.7744,1275.0
199.8472,1582.0
199.92,1939.0
199.9928,2756.0
200.0656,2698.0
200.1385,1937.0
200.2113,1379.0
200.2841,1279.0
200.3569,1096.0
200.4297,1125.0
200.5025,960.0
200.5753,1095.0
200.6481,995.0
200.7209,1060.0
200.7937,1058.0
200.8665,1070.0
200.9393,1039.0
201.0121,1141.0
201.0848,1040.0
201.1576,1241.0
201.2304,1113.0
201.3032,1283.0
201.3759,1314.0
201.4487,1440.0
201.5215,1432.0
201.5943,1596.0
201.667,1543.0
201.7398,1653.0
201.8125,1480.0
201.8853,1590.0
201.958,1530.0
202.0308,1725.0
202.1035,1904.0
