Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0300 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,631.0
185.0142,605.0
185.0875,667.0
185.1608,621.0
185.2341,697.0
185.3074,611.0
185.3807,722.0
185.454,605.0
185.5273,682.0
185.6006,616.0
185.6739,639.0
185.7472,601.0
185.8205,688.0
185.8938,595.0
185.9671,692.0
186.0403,613.0
186.1136,662.0
186.1869,614.0
186.2601,637.0
186.3334,592.0
186.4067,674.0
186.4799,575.0
186.5532,691.0
186.6265,592.0
186.6997,702.0
186.773,605.0
186.8462,707.0
186.9195,623.0
186.9928,684.0
187.066,615.0
187.1392,658.0
187.2125,625.0
187.2857,709.0
187.3589,680.0
187.4322,747.0
187.5054,671.0
187.5786,726.0
187.6519,710.0
187.7251,830.0
187.7983,753.0
187.8715,819.0
187.9447,769.0
188.018,803.0
188.0912,729.0
188.1644,764.0
188.2376,673.0
188.3108,774.0
188.384,697.0
188.4572,728.0
188.5304,742.0
188.6036,754.0
188.6768,695.0
188.75,794.0
188.8232,746.0
188.8963,777.0
188.9695,741.0
189.0427,761.0
189.1159,713.0
189.1891,805.0
189.2623,742.0
189.3354,822.0
189.4086,788.0
189.4818,854.0
189.5549,792.0
189.6281,937.0
189.7012,889.0
189.7744,938.0
189.8476,833.0
189.9207,872.0
189.9939,830.0
190.067,958.0
190.1402,883.0
190.2133,924.0
190.2864,820.0
190.3596,931.0
190.4327,879.0
190.5059,1033.0
190.579,1064.0
190.6521,1140.0
190.7253,1043.0
190.7984,1223.0
190.8715,1236.0
190.9446,1324.0
191.0177,1270.0
191.0908,1311.0
191.164,1101.0
191.2371,1026.0
191.3102,956.0
191.3833,1053.0
191.4564,903.0
191.5295,894.0
191.6026,803.0
191.6757,848.0
191.7488,760.0
191.8219,869.0
191.895,781.0
191.968,823.0
192.0411,788.0
192.1142,862.0
192.1873,724.0
192.2604,880.0
192.3334,761.0
192.4065,908.0
192.4796,827.0
192.5527,876.0
192.6257,866.0
192.6988,908.0
192.7718,842.0
192.8449,915.0
192.918,884.0
192.991,983.0
193.064,902.0
193.1371,981.0
193.2101,921.0
193.2832,992.0
193.3562,977.0
193.4292,1097.0
193.5023,1150.0
193.5753,1260.0
193.6484,1170.0
193.7214,1204.0
193.7944,1044.0
193.8674,1171.0
193.9405,1112.0
194.0135,1231.0
194.0865,1348.0
194.1595,1534.0
194.2325,1413.0
194.3055,1476.0
194.3785,1341.0
194.4515,1346.0
194.5246,1331.0
194.5975,1426.0
194.6705,1414.0
194.7435,1570.0
194.8165,1641.0
194.8895,1957.0
194.9625,1819.0
195.0355,1699.0
195.1085,1405.0
195.1815,1410.0
195.2544,1188.0
195.3274,1193.0
195.4004,1167.0
195.4734,1194.0
195.5463,1067.0
195.6193,1180.0
195.6923,1152.0
195.7652,1093.0
195.8382,1045.0
195.9111,1043.0
195.9841,956.0
196.057,1052.0
196.13,1008.0
196.2029,1048.0
196.2759,947.0
196.3488,1030.0
196.4218,1036.0
196.4947,1024.0
196.5676,998.0
196.6406,1021.0
196.7135,895.0
196.7864,1038.0
196.8593,932.0
196.9323,1047.0
197.0052,1054.0
197.0781,1181.0
197.151,1085.0
197.2239,1080.0
197.2969,985.0
197.3697,1109.0
197.4427,1014.0
197.5156,1092.0
197.5885,954.0
197.6614,994.0
197.7343,872.0
197.8072,1007.0
197.88,880.0
197.9529,957.0
198.0258,883.0
198.0987,960.0
198.1716,887.0
198.2445,918.0
198.3173,848.0
198.3902,931.0
198.4631,866.0
198.5359,995.0
198.6088,839.0
198.6817,966.0
198.7545,869.0
198.8274,817.0
198.9003,859.0
198.9731,887.0
199.046,825.0
199.1188,914.0
199.1917,824.0
199.2645,903.0
199.3373,847.0
199.4102,878.0
199.483,813.0
199.5559,830.0
199.6287,839.0
199.7015,871.0
199.7744,865.0
199.8472,922.0
199.92,815.0
199.9928,903.0
200.0656,823.0
200.1385,892.0
200.2113,835.0
200.2841,867.0
200.3569,797.0
200.4297,905.0
200.5025,810.0
200.5753,929.0
200.6481,911.0
200.7209,990.0
200.7937,928.0
200.8665,1005.0
200.9393,962.0
201.0121,1049.0
201.0848,1033.0
201.1576,1066.0
201.2304,978.0
201.3032,997.0
201.3759,932.0
201.4487,918.0
201.5215,899.0
201.5943,953.0
201.667,878.0
201.7398,932.0
201.8125,867.0
201.8853,927.0
201.958,862.0
202.0308,1037.0
202.1035,1002.0
202.1763,1087.0
202.249,941.0
202.3218,1011.0
202.3945,910.0
202.4673,1005.0
202.54,911.0
202.6127,958.0
202.6855,855.0
202.7582,935.0
202.8309,820.0
202.9036,931.0
202.9764,829.0
203.0491,951.0
203.1218,857.0
203.1945,922.0
203.2672,887.0
203.3399,964.0
203.4126,857.0
203.4853,978.0
203.558,877.0
203.6307,949.0
203.7034,898.0
203.7761,954.0
203.8488,955.0
203.9215,1006.0
203.9942,950.0
204.0669,1071.0
204.1395,1107.0
204.2122,1215.0
204.2849,989.0
204.3576,1075.0
204.4302,949.0
204.5029,1063.0
204.5756,973.0
204.6482,1052.0
204.7209,981.0
204.7935,1088.0
204.8662,1011.0
204.9389,1222.0
205.0115,1204.0
205.0842,1426.0
205.1568,1270.0
205.2294,1203.0
205.3021,1231.0
205.3747,1324.0
205.4474,1433.0
205.52,1619.0
205.5926,1355.0
205.6653,1483.0
205.7379,1418.0
205.8105,1434.0
205.8831,1397.0
205.9557,1359.0
206.0284,1217.0
206.101,1201.0
206.1736,1101.0
206.2462,1174.0
206.3188,1193.0
206.3914,1254.0
206.464,1284.0
206.5366,1516.0
206.6092,1567.0
206.6818,1906.0
206.7544,1987.0
206.827,2000.0
206.8996,1610.0
206.9721,1441.0
207.0447,1261.0
207.1173,1147.0
207.1899,1040.0
207.2625,1129.0
207.335,1078.0
207.4076,1070.0
207.4802,981.0
207.5527,1114.0
207.6253,992.0
207.6978,1007.0
207.7704,1013.0
207.843,1024.0
207.9155,975.0
207.9881,1020.0
208.0606,925.0
208.1331,1014.0
208.2057,990.0
208.2782,985.0
208.3508,968.0
208.4233,1020.0
208.4958,899.0
208.5684,985.0
208.6409,946.0
208.7134,998.0
208.7859,942.0
208.8584,1011.0
208.931,890.0
209.0035,1017.0
209.076,943.0
209.1485,1095.0
209.221,945.0
209.2935,1065.0
209.366,996.0
209.4385,1139.0
209.511,1035.0
209.5835,1230.0
209.656,1254.0
209.7285,1418.0
209.801,1477.0
209.8735,1603.0
209.9459,1513.0
210.0184,1585.0
210.0909,1573.0
210.1634,1674.0
210.2358,1649.0
210.3083,1898.0
210.3808,1788.0
210.4532,1582.0
210.5257,1371.0
210.5982,1452.0
210.6706,1215.0
210.7431,1182.0
210.8155,1075.0
210.888,1081.0
210.9604,948.0
211.0329,1049.0
211.1053,973.0
211.1777,1013.0
211.2502,934.0
211.3226,1018.0
211.3951,964.0
211.4675,998.0
211.5399,960.0
211.6123,1103.0
211.6847,929.0
211.7572,988.0
211.8296,931.0
211.902,1040.0
211.9744,953.0
212.0468,936.0
212.1192,922.0
212.1917,947.0
212.264,930.0
212.3364,962.0
212.4088,952.0
212.4812,1005.0
212.5536,885.0
212.626,945.0
212.6984,935.0
212.7708,974.0
212.8432,900.0
212.9155,1056.0
212.9879,962.0
213.0603,1023.0
213.1326,921.0
213.205,996.0
213.2774,988.0
213.3498,1063.0
213.4221,983.0
213.4945,1050.0
213.5668,990.0
213.6392,1140.0
213.7115,1057.0
213.7839,1125.0
213.8562,1033.0
213.9286,1067.0
214.0009,1028.0
214.0732,1084.0
214.1456,976.0
214.2179,1018.0
214.2903,969.0
214.3626,1028.0
214.4349,906.0
214.5072,1036.0
214.5796,935.0
214.6519,1032.0
214.7242,982.0
214.7965,1077.0
214.8688,924.0
214.9411,997.0
215.0134,976.0
215.0857,1049.0
215.158,1038.0
215.2303,1136.0
215.3026,1264.0
215.3749,1396.0
215.4472,1550.0
215.5195,2033.0
215.5918,1922.0
215.6641,1774.0
215.7363,1680.0
215.8086,1965.0
215.8809,2170.0
215.9532,2719.0
216.0254,2267.0
216.0977,1682.0
216.17,1468.0
216.2422,1669.0
216.3145,1669.0
216.3867,1473.0
216.459,1183.0
216.5313,1264.0
216.6035,1090.0
216.6758,1206.0
216.748,1168.0
216.8202,1183.0
216.8925,1198.0
216.9647,1189.0
217.037,1117.0
217.1092,1198.0
217.1814,1053.0
217.2536,1251.0
217.3259,1166.0
217.3981,1188.0
217.4703,1207.0
217.5425,1240.0
217.6147,1253.0
217.687,1279.0
217.7592,1272.0
217.8314,1361.0
217.9035,1280.0
217.9758,1446.0
218.048,1273.0
218.1201,1230.0
218.1924,1268.0
218.2645,1282.0
218.3367,1207.0
218.4089,1306.0
218.4811,1255.0
218.5533,1450.0
218.6255,1441.0
218.6976,1695.0
218.7698,1759.0
218.842,1801.0
218.9142,1635.0
218.9863,1602.0
219.0585,1563.0
219.1306,1529.0
219.2028,1302.0
219.2749,1299.0
219.3471,1199.0
219.4193,1283.0
219.4914,1168.0
219.5636,1229.0
219.6357,1227.0
219.7078,1253.0
219.78,1289.0
219.8521,1372.0
219.9242,1462.0
219.9964,1585.0
220.0685,1562.0
220.1406,1454.0
220.2128,1308.0
220.2849,1283.0
220.357,1142.0
220.4291,1223.0
220.5012,1139.0
220.5733,1170.0
220.6454,1161.0
220.7175,1209.0
220.7896,1135.0
220.8617,1179.0
220.9338,1121.0
221.0059,1190.0
221.078,1100.0
221.1501,1217.0
221.2222,1139.0
221.2943,1250.0
221.3663,1055.0
221.4384,1188.0
221.5105,1100.0
221.5826,1119.0
221.6546,1025.0
221.7267,1095.0
221.7988,1102.0
221.8708,1166.0
221.9429,1095.0
222.015,1148.0
222.087,1143.0
222.1591,1127.0
222.2311,1161.0
222.3032,1197.0
222.3752,1138.0
222.4473,1281.0
222.5193,1323.0
222.5913,1646.0
222.6634,1792.0
222.7354,2207.0
222.8074,2090.0
222.8795,2013.0
222.9515,1981.0
223.0235,2160.0
223.0955,2481.0
223.1675,2559.0
223.2395,1714.0
223.3116,1412.0
223.3836,1242.0
223.4556,1344.0
223.5276,1267.0
223.5996,1413.0
223.6716,1386.0
223.7436,1611.0
223.8156,1626.0
223.8876,1761.0
223.9595,1598.0
224.0315,1559.0
224.1035,1369.0
224.1755,1351.0
224.2475,1274.0
224.3195,1335.0
224.3914,1291.0
224.4634,1366.0
224.5354,1261.0
224.6073,1345.0
224.6793,1267.0
224.7512,1417.0
224.8232,1425.0
224.8952,1598.0
224.9671,1678.0
225.0391,1861.0
225.111,1748.0
225.1829,1612.0
225.2549,1605.0
225.3268,1703.0
225.3988,1516.0
225.4707,1464.0
225.5426,1342.0
225.6146,1406.0
225.6865,1323.0
225.7584,1386.0
225.8303,1458.0
225.9022,1621.0
225.9742,1863.0
226.0461,2299.0
226.118,2837.0
226.1899,3117.0
226.2618,2082.0
226.3337,1639.0
226.4056,1383.0
226.4775,1442.0
226.5494,1412.0
226.6213,1459.0
226.6932,1461.0
226.7651,1753.0
226.8369,2083.0
226.9088,2604.0
226.9807,2567.0
227.0526,1962.0
227.1245,1426.0
227.1963,1329.0
227.2682,1248.0
227.3401,1335.0
227.4119,1203.0
227.4838,1225.0
227.5556,1142.0
227.6275,1258.0
227.6993,1195.0
227.7712,1237.0
227.8431,1134.0
227.9149,1193.0
227.9867,1145.0
228.0586,1143.0
228.1304,1112.0
228.2023,1179.0
228.2741,1136.0
228.3459,1170.0
228.4177,1131.0
228.4896,1230.0
228.5614,1145.0
228.6332,1258.0
228.705,1213.0
228.7768,1249.0
228.8486,1213.0
