Laser settings:
	Diode frequency:	5 Hz
	Pulses fired:		105
	Q-Switch blanking:	5
	Q-Switch delay:		201 μs
	Q-Switch presync:	1 μs
Spectrometer settings:
	Integration time:	0.0300 ms
	Integration delay:	0.000 ns
	Averaging:		1
	Trigger mode:		External
	Dynamic Dark Correction:		Disabled


wavelength,intensity
184.9409,660.0
185.0142,590.0
185.0875,640.0
185.1608,605.0
185.2341,689.0
185.3074,580.0
185.3807,677.0
185.454,628.0
185.5273,696.0
185.6006,618.0
185.6739,656.0
185.7472,598.0
185.8205,674.0
185.8938,610.0
185.9671,753.0
186.0403,596.0
186.1136,655.0
186.1869,593.0
186.2601,679.0
186.3334,580.0
186.4067,676.0
186.4799,605.0
186.5532,694.0
186.6265,635.0
186.6997,684.0
186.773,618.0
186.8462,692.0
186.9195,623.0
186.9928,687.0
187.066,602.0
187.1392,691.0
187.2125,608.0
187.2857,703.0
187.3589,641.0
187.4322,735.0
187.5054,693.0
187.5786,764.0
187.6519,677.0
187.7251,782.0
187.7983,723.0
187.8715,804.0
187.9447,744.0
188.018,798.0
188.0912,721.0
188.1644,789.0
188.2376,644.0
188.3108,762.0
188.384,687.0
188.4572,744.0
188.5304,772.0
188.6036,778.0
188.6768,705.0
188.75,807.0
188.8232,720.0
188.8963,750.0
188.9695,717.0
189.0427,780.0
189.1159,729.0
189.1891,786.0
189.2623,741.0
189.3354,800.0
189.4086,768.0
189.4818,810.0
189.5549,813.0
189.6281,878.0
189.7012,846.0
189.7744,918.0
189.8476,785.0
189.9207,848.0
189.9939,885.0
190.067,927.0
190.1402,829.0
190.2133,886.0
190.2864,798.0
190.3596,904.0
190.4327,861.0
190.5059,984.0
190.579,1013.0
190.6521,1027.0
190.7253,988.0
190.7984,1200.0
190.8715,1150.0
190.9446,1242.0
191.0177,1157.0
191.0908,1208.0
191.164,1002.0
191.2371,1025.0
191.3102,871.0
191.3833,1016.0
191.4564,836.0
191.5295,869.0
191.6026,780.0
191.6757,869.0
191.7488,818.0
191.8219,852.0
191.895,750.0
191.968,866.0
192.0411,760.0
192.1142,873.0
192.1873,754.0
192.2604,889.0
192.3334,807.0
192.4065,890.0
192.4796,802.0
192.5527,905.0
192.6257,830.0
192.6988,869.0
192.7718,875.0
192.8449,975.0
192.918,844.0
192.991,957.0
193.064,890.0
193.1371,933.0
193.2101,915.0
193.2832,994.0
193.3562,1064.0
193.4292,1139.0
193.5023,1104.0
193.5753,1247.0
193.6484,1139.0
193.7214,1148.0
193.7944,1003.0
193.8674,1114.0
193.9405,1093.0
194.0135,1243.0
194.0865,1292.0
194.1595,1449.0
194.2325,1371.0
194.3055,1380.0
194.3785,1277.0
194.4515,1282.0
194.5246,1250.0
194.5975,1401.0
194.6705,1338.0
194.7435,1470.0
194.8165,1525.0
194.8895,1887.0
194.9625,1750.0
195.0355,1711.0
195.1085,1489.0
195.1815,1368.0
195.2544,1239.0
195.3274,1239.0
195.4004,1115.0
195.4734,1154.0
195.5463,1034.0
195.6193,1199.0
195.6923,1129.0
195.7652,1115.0
195.8382,1035.0
195.9111,1123.0
195.9841,1015.0
196.057,1110.0
196.13,989.0
196.2029,1083.0
196.2759,971.0
196.3488,1031.0
196.4218,999.0
196.4947,1030.0
196.5676,931.0
196.6406,1045.0
196.7135,949.0
196.7864,1049.0
196.8593,959.0
196.9323,1093.0
197.0052,1084.0
197.0781,1166.0
197.151,1018.0
197.2239,995.0
197.2969,976.0
197.3697,1034.0
197.4427,995.0
197.5156,1073.0
197.5885,975.0
197.6614,974.0
197.7343,877.0
197.8072,987.0
197.88,934.0
197.9529,977.0
198.0258,899.0
198.0987,934.0
198.1716,907.0
198.2445,937.0
198.3173,868.0
198.3902,873.0
198.4631,881.0
198.5359,987.0
198.6088,826.0
198.6817,958.0
198.7545,896.0
198.8274,852.0
198.9003,877.0
198.9731,915.0
199.046,823.0
199.1188,926.0
199.1917,838.0
199.2645,954.0
199.3373,771.0
199.4102,895.0
199.483,839.0
199.5559,855.0
199.6287,895.0
199.7015,935.0
199.7744,889.0
199.8472,905.0
199.92,869.0
199.9928,921.0
200.0656,831.0
200.1385,844.0
200.2113,852.0
200.2841,884.0
200.3569,828.0
200.4297,945.0
200.5025,832.0
200.5753,916.0
200.6481,880.0
200.7209,1008.0
200.7937,950.0
200.8665,1010.0
200.9393,974.0
201.0121,1070.0
201.0848,926.0
201.1576,1075.0
201.2304,963.0
201.3032,1003.0
201.3759,929.0
201.4487,977.0
201.5215,881.0
201.5943,979.0
201.667,925.0
201.7398,954.0
201.8125,870.0
201.8853,940.0
201.958,867.0
202.0308,1018.0
202.1035,951.0
202.1763,1063.0
202.249,1018.0
202.3218,1023.0
202.3945,941.0
202.4673,1001.0
202.54,901.0
202.6127,935.0
202.6855,859.0
202.7582,918.0
202.8309,826.0
202.9036,922.0
202.9764,857.0
203.0491,973.0
203.1218,901.0
203.1945,997.0
203.2672,907.0
203.3399,992.0
203.4126,846.0
203.4853,982.0
203.558,874.0
203.6307,979.0
203.7034,900.0
203.7761,991.0
203.8488,951.0
203.9215,1083.0
203.9942,949.0
204.0669,1060.0
204.1395,1073.0
204.2122,1165.0
